Original_Filename,Matching_Filename_OR_SC,Alternate_Method,Method_Argument,Similarity_to_Fort
efe\op0202.png, Special Case, english_asset, ,0
efe\op0203.png, Special Case, english_asset, ,0
efe\op0204.png, Special Case, english_asset, ,0
efe\op0205.png, Special Case, english_asset, ,0
efe\op0206.png, Special Case, english_asset, ,0
efe\op0207.png, Special Case, english_asset, ,0
efe\op0208.bmp, Special Case, english_asset, ,0
efe\pumpkin1.bmp, pumpkin2.png, , ,99.609375
efe\pumpkin2.bmp, pumpkin2.png, , ,99.609375
efe\purgatorio.png, purgatorio.png, , ,100
efe\sakutaro1a.bmp, sakutaro2ab.png, , ,99.90234375
efe\sakutaro1b.bmp, sakutaro1bb.png, , ,99.8046875
efe\sakutaro2a.bmp, sakutaro2ab.png, , ,99.90234375
efe\sakutaro2b.bmp, sakutaro2bb.png, , ,100
efe\shotgun1b.bmp, Special Case, stretch_original_double_width, ,0
efe\shotgun2b.bmp, Special Case, stretch_original_double_width, ,0
efe\shotgun3b.bmp, Special Case, stretch_original_double_width, ,0
efe\shotgun4b.bmp, Special Case, stretch_original_double_width, ,0
efe\siestabeam.png, Special Case, stretch_original, ,0
efe\stake1a.png, Special Case, stretch_original, ,0
efe\stake1b.png, Special Case, stretch_original, ,0
efe\stake1c.png, Special Case, stretch_original, ,0
efe\stake1d.png, Special Case, stretch_original, ,0
efe\sweet1.bmp, sweet1.png, , ,99.609375
efe\sweet2.bmp, sweet2.png, , ,100
efe\system1.png, Special Case, stretch_original, ,0
efe\system1t.png, Special Case, stretch_original, ,0
efe\system2.png, Special Case, stretch_original, ,0
efe\system2t.png, Special Case, stretch_original, ,0
efe\system3.png, Special Case, stretch_original, ,0
efe\system3t.png, Special Case, stretch_original, ,0
efe\system4.png, Special Case, stretch_original, ,0
efe\system4t.png, Special Case, stretch_original, ,0
efe\system5.png, Special Case, stretch_original, ,0
efe\system5t.png, Special Case, stretch_original, ,0
efe\tel1a.bmp, tel1a.png, , ,100
efe\text001.png, Special Case, english_asset, ,0
efe\text002.png, Special Case, english_asset, ,0
efe\text003.png, Special Case, english_asset, ,0
efe\text004.png, Special Case, english_asset, ,0
efe\text005.png, Special Case, english_asset, ,0
efe\text006.png, Special Case, english_asset, ,0
efe\text007.png, Special Case, english_asset, ,0
efe\text010.png, Special Case, english_asset, ,0
efe\text010a.png, Special Case, english_asset, ,0
efe\text010b.png, Special Case, english_asset, ,0
efe\text010c.png, Special Case, english_asset, ,0
efe\text011.png, Special Case, english_asset, ,0
efe\text012.png, Special Case, english_asset, ,0
efe\tower1.bmp, Special Case, tall_image_original, ,0
efe\tower2.bmp, Special Case, stretch_original, ,0
efe\tower2r.bmp, Special Case, stretch_original, ,0
efe\tower3.bmp, Special Case, stretch_original, ,0
efe\tower4.bmp, Special Case, stretch_original, ,0
efe\unknown01.png, unknown01.png, , ,98.2421875
efe\white_waku.bmp, Special Case, stretch_original_double_width, ,0
efe\white1.bmp, Special Case, stretch_original_double_width, ,0
forest\beach_1a.bmp, beach_1a.png, , ,100
forest\beach_1b.bmp, beach_1a.png, , ,100
forest\beach_2a.bmp, beach_2af.png, , ,100
forest\beach_2b.bmp, beach_2af.png, , ,100
forest\beach_3a.bmp, beach_2a.png, , ,100
forest\beach_l1a.bmp, Special Case, tall_image, ,0
forest\beach_l2a.bmp, Special Case, tall_image, ,0
forest\beach_s1a.bmp, beach_s1a.png, , ,99.8046875
forest\beach_s1b.bmp, beach_s1a.png, , ,99.8046875
forest\beach_s1c.bmp, beach_s1a.png, , ,99.8046875
forest\beach_s2a.bmp, beach_s2a.png, , ,99.4140625
forest\beach_s2b.bmp, beach_s2a.png, , ,99.4140625
forest\cliff_1a.bmp, cliff_1a.png, , ,100
forest\cliff_1b.bmp, cliff_1b.png, , ,99.609375
forest\forest_p1a.bmp, forest_p1af.png, , ,99.8046875
forest\forest_p1an.bmp, forest_p1ar.png, , ,99.8046875
forest\forest_p1ar.bmp, forest_p1a.png, , ,100
forest\forest_p1b.bmp, forest_p1bf.png, , ,100
forest\forest_p1bn.bmp, forest_p1br.png, , ,99.8046875
forest\forest_p1br.bmp, forest_p1b.png, , ,99.4140625
forest\forest_p2a.bmp, forest_p2af.png, , ,99.8046875
forest\forest_p2an.bmp, forest_p2an.png, , ,99.609375
forest\forest_p2ar.bmp, forest_p2a.png, , ,100
forest\forest_p2b.bmp, t\forest_p3bf.png, , ,100
forest\forest_p2bn.bmp, t\forest_p3bn.png, , ,100
forest\forest_p2br.bmp, t\forest_p3b.png, , ,99.609375
